Fri Jul 03 14:28:05 PDT 2015 --  What Apple eventually got right in its awkward ’80s video http://cultm.ac/1LINixY  pic.twitter.com/l43JslIzhq
Fri Jul 03 03:16:59 PDT 2015 --  @7NewsSydney @DjuroSen -another distraction while driving! 'Sorry' doesn't cut it if you kill/hurt someone for the sake of a text/call
Fri Jul 03 03:07:15 PDT 2015 --  Do drivers risk big fines if they use new voice controlled mobile technology? @DjuroSen reports for 7 News. #tech http://snpy.tv/1UgoQI2 
Fri Jul 03 03:03:35 PDT 2015 --  Coming soon to Australia, electronic displays in our cars. @DjuroSen reports on a controversial new technology. http://snpy.tv/1HBkvf6 
Fri Jul 03 02:03:57 PDT 2015 --  @DjuroSen Drivers have enough distractions without HUD's that accept/send text's.... @7NewsSydney
Thu Jul 02 03:39:18 PDT 2015 --  They're coming soon to Australia - HUDs that can keep you in touch but how much is too much? https://au.news.yahoo.com/nsw/video/watch/28650012/australia-lacks-laws-restricting-heads-up-display-in-cars/?cmp=st … via @Yahoo7
Tue Jun 30 18:15:21 PDT 2015 --  Happy new financial year @thecashman - get cracking on those receipts mate.
Mon Jun 29 14:19:51 PDT 2015 --  @DjuroSen welcome to @RugbyCanada the 20th and final men's team announced for @CC7S pic.twitter.com/M5fihGrBsy
Tue Jun 30 02:01:23 PDT 2015 --  Australia's newest wifi network switched-on today. @DjuroSen explores Telstra Air®. #WiFiAir #7News http://snpy.tv/1IJekQx 
Tue Jun 30 01:30:21 PDT 2015 --  Home WiFi sharing has been switched on officially - my @Telstra Air report coming up shortly on @7NewsSydney
Mon Jun 29 15:05:16 PDT 2015 --  Inverell's Sen boys doing good work. Ivan for @DreamlandBunya & @DjuroSen for @7NewsSydney #goldstone #7news https://twitter.com/7NewsSydney/status/615291238250459136 …
Sun Jun 28 15:50:37 PDT 2015 --  FIRST ON 7: @DjuroSen reports on Jacki Weaver & David Wenham's new movie Goldstone. #7News #Goldstone http://snpy.tv/1fZMWHg 
Sun Jun 28 01:41:30 PDT 2015 --  Breaking news soon on @7NewsSydney Tigers captain Robbie Farah x rays for broken hand after today's loss
Sat Jun 27 20:31:13 PDT 2015 --  The Aussie film that reunited two screen legends. Exclusive behind-the-scenes on @7NewsSydney & nationally tonight. pic.twitter.com/5yn0cggdJM
Sat Jun 27 13:46:26 PDT 2015 --  HALF TIME: Australia 0 - 0 Japan. Thoughts on the first 45? #GoMatildas #ThisIsIt #FIFAWWC #AUSJPN pic.twitter.com/QBT6mJMnQH
Sat Jun 27 13:52:08 PDT 2015 --  I think @thecashman smashed all the pies before the first scrum @wellsy4 https://twitter.com/wellsy4/status/614758449528737792 …
Sat Jun 27 04:28:15 PDT 2015 --  The greatest assembly of rugby minds in history for the @NSWWaratahs v @Highlanders #SuperRugby pic.twitter.com/Sj1WBEK8Li
Sat Jun 27 02:59:08 PDT 2015 --  Where is the editor @thecashman ?? https://twitter.com/mattcarmichael/status/614722128886153216 …
Fri Jun 26 13:07:54 PDT 2015 --  Watch Obama lead a powerful rendition of "Amazing Grace" at Clementa Pinckney's funeral http://huff.to/1HkZSUj  pic.twitter.com/xQUiBdM2YS
Thu Jun 25 14:35:06 PDT 2015 --  Bill O'Reilly just declared war on everyone who doesn't like Fox News http://i100.io/W72me2Z  pic.twitter.com/uCcoLJPzaS
Thu Jun 25 01:51:36 PDT 2015 --  EELS DRAMA: The offer to former coach Brian Smith...and the backflip. STORY: http://yhoo.it/1LDmrkL  #NRL #7News pic.twitter.com/vTSSeOMMUV
Sun Jun 21 14:41:54 PDT 2015 --  Go for it @KyahSimon talk about represent - @TheMatildas all the way! https://twitter.com/kyahsimon/status/612727450183856128 …
Sun Jun 21 14:10:16 PDT 2015 --  A promising sign, to be sure ... https://twitter.com/beneverill/status/612725840221069312 …
Sat Jun 20 19:13:07 PDT 2015 --  @DjuroSen @CC7S story so far... pic.twitter.com/jBSCbeyBuM
Sun Jun 21 04:28:03 PDT 2015 --  Good final four - they all deserve a shot. Bring it on. https://twitter.com/superrugby/status/612429296309661696 …
Sun Jun 21 01:52:29 PDT 2015 --  A huge #SuperRugby Semi-Final at @AllianzStadium! @NSWWaratahs v @Highlanders! TICKETS: http://ausrug.by/1LbKLfv  pic.twitter.com/zLlB7mwYEp
Sat Jun 20 18:26:46 PDT 2015 --  Great to watch - pure guts @JDayGolf https://twitter.com/golfaust/status/612431004616122368 …
Wed Jun 17 15:15:33 PDT 2015 --  There are boofheads in all codes. In 2001 a group of Aussie supporters yelled out during a moment of silence post 9/11 at Twickenham.
Tue Jun 16 17:57:23 PDT 2015 --  Installing @creativecloud update. The Morph Cut transition is very sharp in @AdobePremiere
Tue Jun 16 03:03:54 PDT 2015 --  We're all going miss you @ChrisBath7 - no one gets the newsroom energy up like you when the @sydneyswans & @adamroy37 are playing.
Tue Jun 16 02:57:02 PDT 2015 --  We just signed the contract for August for the WBC regional title fight against a world ranked opponent in Hong Kong pic.twitter.com/70OwbQmRpz
