Sat May 17 11:48:24 PDT 2014 --  Shades of 2006. #whufc
Sat May 17 09:12:22 PDT 2014 --  I'm not even watching #FACupFinal but I'm finding this hilarious!
Sun May 11 08:36:45 PDT 2014 --  Anyone wondering why #whufc fans want Sam out, they need to watch this game. Shameful.
Sun May 11 07:01:40 PDT 2014 --  Please don't concede an early goal, please don't concede an early goal, please don't concede an early goal... #whufc
Sun May 11 06:39:39 PDT 2014 --  This game feels like lamb to the slaughters... But, this is football... #whufc #irons
Sat May 10 13:45:32 PDT 2014 --  Confession: I'm watching #EurovisionSongContest2014 . To be fair, without Twitter it wouldn't be half as much fun.
Fri May 09 13:18:37 PDT 2014 --  Is it a dark day in the Durr household? #Rolf
Wed May 07 12:59:41 PDT 2014 --  Here. We. Go. #JackIsBack #24
Sun May 04 14:02:11 PDT 2014 --  " @UberFacts:The ancient Japanese would wipe their anus with a kusobera-A wooden stick whos name literally meant "shit spatula"" @RobDurr77
Sat May 03 06:12:14 PDT 2014 --  Doncaster relegated after Brum equalised 2-2 at Bolton in added time. Brum were two nil down with 1/4 hour to go. That's football!
Sat May 03 05:32:39 PDT 2014 --  Happy days #whufc
Wed Apr 30 12:26:27 PDT 2014 --  At least that should make this game interesting...
Tue Apr 29 13:37:48 PDT 2014 --  Here's hoping for an all #Madrid final #DontWantChelseaToRuinIt
Tue Apr 29 12:36:21 PDT 2014 --  Well, didn't expect that first half...
Tue Apr 29 12:00:28 PDT 2014 --  What's the odds on Pepe getting booked tonight?! #banker
Tue Apr 29 11:50:58 PDT 2014 --  Score draw for me tonight #BayernRealMadrid
Tue Apr 22 14:34:45 PDT 2014 --  Spanish journalist just informed Mourinho that "the son of West Ham's owner has described it as 19th century football". Mourinho unimpressed
Sun Apr 20 12:35:45 PDT 2014 --  " @conspiracystory: The "Illuminati Owl" hidden on the $1 bill. pic.twitter.com/rbKMdlnNeT" @chanus77 found some dollar bills earlier-its there!
Sat Apr 19 11:52:48 PDT 2014 --  #Mourinho post match antics are the reason I dislike him so much. Annoys me that he gets so much media/fan love. #AdvantageLiverpool
Wed Apr 16 14:13:32 PDT 2014 --  Wow, what a goal by #Bale
Wed Apr 16 13:57:51 PDT 2014 --  Pepe at fault for #Barca's equaliser. Good times.
Tue Apr 15 12:30:07 PDT 2014 --  Oh.... #whufc
Tue Apr 15 12:26:00 PDT 2014 --  BOOM! #whufc
Sun Apr 13 06:32:59 PDT 2014 --  Can't argue with the pace #Liverpool start games. Great to see.
Sun Apr 13 05:30:13 PDT 2014 --  Never Forgotten pic.twitter.com/EPx6DpfHRg
Sat Apr 12 11:59:15 PDT 2014 --  Can't believe #Arsenal celebrating like they are. They should be EMBARRASSED. Win, thank the fans, get in the dressing room.
Sat Apr 12 11:01:45 PDT 2014 --  Don't worry #Arsenal fans. Remember, you were "guaranteed" to win the cup... #easypeasy
Sat Apr 12 10:29:21 PDT 2014 --  Awesome #Wigan
Sat Apr 12 09:52:24 PDT 2014 --  Yaya Sanogo is paid to be a professional footballer? Is that true? #toilet
Sun Apr 06 12:14:42 PDT 2014 --  Can't believe #Arsenal took another pasting today. Surely Wenger's time is drawing in?
Sun Apr 06 10:46:45 PDT 2014 --  This still hurts #gutted pic.twitter.com/w84LsoYoHn
Sat Apr 05 15:10:53 PDT 2014 --  I love the amount of knowledge Robbie Savage gives from his analysis. #twobob #MOTD
Sat Apr 05 14:50:31 PDT 2014 --  Charlie Adam does another player #surprise #MOTD
Sat Apr 05 14:32:30 PDT 2014 --  What's with the empty seats at the Etihad?
