Wed Jul 29 18:20:11 PDT 2015 --  USL discipline report confirms Arena is suspended on Saturday for 5th caution. Wilmington has two players suspended for the same reason.
Wed Jul 29 17:38:04 PDT 2015 --  I imagine the USL meetings are like Thanksgiving, complete with adult and kids tables.
Tue Jul 28 06:31:37 PDT 2015 --  Weekend Recap: I can’t even http://steelarmy.com/2015/07/weekend-recap-i-cant-even/ … pic.twitter.com/YCmEg6GV4P
Mon Jul 27 13:10:41 PDT 2015 --  Unbeliveable that the debacle in Harrisburg is 20 hours old and we have no post-game quotes or statements from the club.
Sun Jul 26 17:43:04 PDT 2015 --  That last game of the season at Harrisburg could be win and in for the hounds....
Sun Jul 26 17:29:16 PDT 2015 --  Karma for the last game I guess. Absolutely stunned by that second half #UNLEASH
Sun Jul 26 17:23:50 PDT 2015 --  What the hell...
Sun Jul 26 17:23:25 PDT 2015 --  The ref swallowed his whistle #UNLEASH
Sun Jul 26 17:20:58 PDT 2015 --  Can we let Harrisburg put another guy back on the field? We played better 11 v 11 #UNLEASH
Sun Jul 26 17:11:13 PDT 2015 --  Uh, guys, put your foot back on the gas #UNLEASH
Sun Jul 26 17:01:56 PDT 2015 --  Hounds smell blood #UNLEASH
Sun Jul 26 16:57:19 PDT 2015 --  Feisty #UNLEASH
Sun Jul 26 16:55:21 PDT 2015 --  We'll take it! #UNLEASH
Sun Jul 26 16:37:01 PDT 2015 --  Eyy @PghRiverhounds there's our guy reppin 412 at the gold cup final pic.twitter.com/dh3kuhwQLE
Sun Jul 26 16:24:21 PDT 2015 --  I think it's safe to say -- after 225+ minutes of action this year -- these two teams don't like each other very much #KeystoneDerby
Sun Jul 26 16:20:34 PDT 2015 --  Vincent might murder this ref #UNLEASH
Sun Jul 26 16:17:15 PDT 2015 --  Hell of a shot. We have a ball game #UNLEASH
Sun Jul 26 16:10:25 PDT 2015 --  A first half performance like this does wonders to quell concerns from the last two weeks. #UNLEASH
Sun Jul 26 16:06:02 PDT 2015 --  Kerr puts the ball where he wants #UNLEASH
Sun Jul 26 16:04:00 PDT 2015 --  Another great chance for Soumah. Seems like he might be what the Hounds needed #UNLEASH
Sun Jul 26 16:01:46 PDT 2015 --  This ref isn't letting the Hounds play physical at all #UNLEASH
Sun Jul 26 15:58:40 PDT 2015 --  Donovan has 39 appearances for the U.S. at the U-17 and U-20 levels, and this appearance for the @PghRiverhounds is his official pro debut.
Sun Jul 26 15:58:01 PDT 2015 --  @PghRiverhounds coaching staff have to be pleased with Soumah's contributions. A forward finally steps up to create quality scoring chance
Sun Jul 26 15:57:53 PDT 2015 --  While play stops: A quick rundown on Conor Donovan -- he was the 22nd overall pick in this year's MLS Draft out of N.C. State.
Sun Jul 26 15:57:44 PDT 2015 --  Vincent does what he does best and buries it #UNLEASH
Sun Jul 26 15:55:39 PDT 2015 --  Tsk tsk. You can't do that! #UNLEASH
