Thu May 14 04:10:02 PDT 2015 --  Good luck to one I my favourite dancers @olivia_reel at the Irish nationals! #angelsteam
Thu May 14 04:08:44 PDT 2015 --  #ProjectNoControl #WeWantNoConrtrolAsASingle
Wed May 13 03:23:45 PDT 2015 --  Good guess: ALBUM will be out in November! Exact date TBA. pic.twitter.com/nKXJoQRitK
Thu May 07 15:00:12 PDT 2015 --  Nanite xxjadexx
Sat May 09 13:17:13 PDT 2015 --  Can't get over how much fun I have with my little bestie! I love Hatchi! Perrie <3 pic.twitter.com/U6635khVaD
Sun May 10 16:21:43 PDT 2015 --  Nanite xxjadexx
Wed May 13 02:25:34 PDT 2015 --  WE OWN TUMBLR WE OWN TWITTER WE OWN THE BILLBOARDS 1D FANDOM RUNS THE WORLD FANDOM RN: #WeWantNoControlAsASingle pic.twitter.com/SocP7GFEwP
Wed May 13 00:44:15 PDT 2015 --  #dancemoms @maddieziegler is staring in pretty little liars well done!
Tue May 12 18:35:16 PDT 2015 --  Mini follow spree! Favorite AND RT this for a follow from me! #DanceMoms @DanceMoms
Wed May 13 00:42:27 PDT 2015 --  #WeWantNoControlAsSingle yer @NiallOfficial @Louis_Tomlinson @Real_Liam_Payne @Harry_Styles @onedirection
Mon May 11 10:24:47 PDT 2015 --  Want tickets to see the band live in Cardiff? Today's your last chance to register via @Twickets! Find out more here http://1d.twickets.co.uk 
Tue May 12 12:16:54 PDT 2015 --  This is soooo incredible guys ! Another example of how good you are to us !! https://twitter.com/billboard/status/598149866930479104 …
Tue May 12 03:11:15 PDT 2015 --  NAPLAN went ok! But what sort of word is Leilleasez? @onedirection made it to my writing part in the SA
Sun May 10 04:59:13 PDT 2015 --  My English homework isn't finished!?
Sun May 10 02:44:45 PDT 2015 --  #OhNoNiall @NiallOfficial you poor child are you and the car ok?
Sat May 09 23:30:46 PDT 2015 --  Big day today and big night tonight !!
Sat May 09 22:45:20 PDT 2015 --  Just saw Pitch Perfect 2 and heard my favourite @LittleMix song Different Beat! I'm a proud Mixer!
Sat May 09 03:15:52 PDT 2015 --  This year just keeps getting worse and worse
