Tue Jul 07 14:32:42 PDT 2015 --  اُن کی چوکھٹ کو چُوم لوں محسن باقی سارے ثواب ۔ ۔ ۔ ۔ ۔ ۔ ۔ رھنے دو pic.twitter.com/SJkIKz1YG7
Tue Jul 07 09:36:59 PDT 2015 --  pic.twitter.com/P9uKsUWdNo
Mon Jul 06 17:31:13 PDT 2015 --  مصائب 1 جب مولا علی ع کے دروازے پر لوگ عیادت کے لیے ہزاروں کی تعداد میں آئے تو مولا علی ع نے جناب حسن ع سے فرمایا. ......
Mon Jul 06 17:36:27 PDT 2015 --  مصائب 2 که حسن ع ان لوگوں سے کهو ک میں علی ع ان سے راضی ہوں اور گھروں میں لوٹ جانے کا کہنا کیوں کہ زینب و کلثوم نے کبھی اتنا ہجوم نہیں دیکھا
Mon Jul 06 15:53:39 PDT 2015 --  unki Trf kabhe Wapis nhe Jain.
Mon Jul 06 15:53:15 PDT 2015 --  Ramzan Khuda ki Janib sy Insan ki Hijrat ka Waqt hy or Hijrat ka Matlb hy k Rasikh aadaat, Halaat r Mamoolat e Zindagi es tarha Choren k Phr
Mon Jul 06 12:56:54 PDT 2015 --  pic.twitter.com/P9zG8AQmyI
Mon Jul 06 11:48:01 PDT 2015 --  pic.twitter.com/dUVzpHwpp8
Sat Jul 04 17:33:31 PDT 2015 --  جب تم کسی میں کوئی عیب دیکھو تو اسے اپنے اندر تلاش کرو اگر اسے اپنے اندر پاؤ تو اسے نکال دو یہ حقیقی تبلیغ ہے
Sun Jul 05 17:27:39 PDT 2015 --  علی۴ کون ہیں نفس رسول ﷺ یہ ہم نہیں کہتے قران کہتا ہے #Quran 3-61 #WhoIsAli
Sun Jul 05 17:24:29 PDT 2015 --  جسم کو موت آتی ہے کردار کو نہیں اپنے کردار کو بہتر بناو موت کہ بعد بهی تمهیں یاد کیا جائے گا ( حضرت علی علیہ السلام ) #WhoIsAli
Sun Jul 05 15:38:41 PDT 2015 --  مصیبت کا مقابلہ صبر سے اور نعمتوں کی حفاظت شکر سے کرتا هے..
