Sun May 17 20:00:44 PDT 2015 --  <------ this guy never swears...pure ruggedness.You would never have to bleep him... #GrizzlyAdams
Sun May 17 19:59:28 PDT 2015 --  That's my reaction, too, Taylor. #Kanye #BBMAs pic.twitter.com/Q2lHWrqk6I
Sun May 17 19:56:54 PDT 2015 --  What a disaster. #Kanye #BBMAs
Sun May 17 19:54:36 PDT 2015 --  BEST Kanye performance I've ever heard - it's muted 75% of song. Best I've seen too! Haven't seen his face yet! #BBMA2015
Sun May 17 19:53:24 PDT 2015 --  Dear Kanye, what's the point of performing on TV if nobody can see OR hear you? #BBMAs
Sun May 17 19:54:27 PDT 2015 --  Is there audio difficulty or is Kanye just so vulgar they are having to censor most of the song? #BBMAs
Sun May 17 19:44:31 PDT 2015 --  My favorite performance of the night has to be this. @Imaginedragons Well done. #StandByMe #BBMAs
Sun May 17 19:36:58 PDT 2015 --  Kelly Clarkson, you go girl. What a voice and what a beauty. #BBMAs
Sun May 17 19:26:55 PDT 2015 --  This song takes me to another place and time. #SimpleMinds #breakfastclub30 #BBMAs
Sun May 17 19:25:00 PDT 2015 --  30 freakin' years ago. #breakfastclub30 #BBMAs
Sun May 17 19:03:01 PDT 2015 --  Why have headset mics when you are lip syncing? #BBMAs
Sun May 17 18:25:24 PDT 2015 --  NICE tribute to B.B. King. God bless B.B. King, indeed. #BBMAs
Sun May 17 18:24:04 PDT 2015 --  John Legend's wife just made One Direction get out of the frame. What a beyotch. #BBMAs
Sun May 17 18:21:40 PDT 2015 --  Love this song so much. Would only be be better with a gospel choir to back @Hozier up. That would be epic. #BBMAs
Sun May 17 18:08:41 PDT 2015 --  That was adorable. @samsmithworld #BBMAs
Sun May 17 17:56:00 PDT 2015 --  J Lo throwing Mariah shade? #BBMAs pic.twitter.com/DUOK8GRGhx
Sun May 17 17:52:00 PDT 2015 --  But dang...she has fried her voice so bad. I hope this residence helps her to get it back strong. #Mariah #BBMAs
Sun May 17 17:50:09 PDT 2015 --  Yaaas! Her first and my favorite. "Vision of Love" #Mariah #BBMAs
Sun May 17 17:37:51 PDT 2015 --  I always thought Joe Jonas would be the one who made it big as a solo artist. Nick has turned out to be the cutest & most talented. #BBMAs
