Thu Aug 06 12:13:47 PDT 2015 --  El argentino Pablo Piatti renueva su contrato con el #Valencia hasta 2019. pic.twitter.com/rSvbiDr6ZY
Thu Aug 06 12:25:18 PDT 2015 --  Mohamed Salah se muda a la capital de Italia y es refuerzo de la #Roma pic.twitter.com/pcoVb9JHlN
Thu Aug 06 11:01:49 PDT 2015 --  El magnate surcoreano Chung confirmó que se postulara para la presidencia de la FIFA pic.twitter.com/ngbnNELmOd
Thu Aug 06 10:45:08 PDT 2015 --  Ángel Di María vestirá la camiseta número 11 en el PSG pic.twitter.com/PDu7a8s5qK
Mon Aug 03 09:39:30 PDT 2015 --  La Juventus anunció que Sami Khedira será baja por dos meses debido a una lesión en el bíceps femoral derecho pic.twitter.com/TlxCjn9z6s
Sat Aug 01 14:14:54 PDT 2015 --  El Colombiano Jeison Murillo ya recibió el trofeo como el mejor jugador joven de la #CopaAmérica pic.twitter.com/1w8l6xuSGO
Wed Jul 29 19:20:20 PDT 2015 --  Minuto 60. Aprieta el equipo mexicano pero tiene poco peligro. #Tigres 0-0 #RiverPlate #CopaLibertadores
Sun Jul 26 21:09:00 PDT 2015 --  #CopaOro #México Miguel Herrera:"A los jugadores les digo que el éxito es de ellos".
Wed Jul 22 19:52:00 PDT 2015 --  Final en México. #Tigres 3-1 #Internacional Global 4-3 #CopaLibertadores
Tue Jul 21 16:12:04 PDT 2015 --  #CopaOro #México D. T. Miguel Herrera:"Vamos a tratar de tener la pelota y de ser contundentes".
