Wed Mar 11 12:43:33 PDT 2015 --  Books and @8tracks in the background: The Jazz Syndicate Vol. 2 http://8tracks.com/beats-noodles/the-jazz-syndicate-vol-2?utm_source=t.co&utm_medium=referral&utm_campaign=twitter_button … #LovinIt #BobbinHead
Mon Mar 09 14:58:34 PDT 2015 --  Man Utd lost the power of the 12th man tonight... pic.twitter.com/40xFGeD8Sn
Mon Mar 09 14:49:17 PDT 2015 --  Bradford or Reading... No difference WE ARE THROUGH TO THE FINAL!!!! @Arsenal
Mon Mar 09 14:46:54 PDT 2015 --  OMG Peter Schmichael looks so old! #Legend
Mon Mar 09 14:46:12 PDT 2015 --  I hope the draw is televised! The show goes on. #roadtowembley @Arsenal
Mon Mar 09 14:35:08 PDT 2015 --  2012 - Adnan Januzaj has pulled off the worst dive since Stephan Feck at the 2012 Olympics. Google.
Mon Mar 09 14:39:55 PDT 2015 --  Full-time: Manchester United 1-2 @Arsenal #MUFCvAFC pic.twitter.com/ZJJETfDeJr
Mon Mar 09 14:39:57 PDT 2015 --  Januzaj has had more bookings for dives than goals in his career so far. pic.twitter.com/D2dk46lojd
Mon Mar 09 14:34:59 PDT 2015 --  To be clear, Man Utd have always been a bunch of diving so-and-sos. But the refs always dutifully gave the pens & it was all "Glory, Glory"
Mon Mar 09 14:40:13 PDT 2015 --  Loving it! Thank you @Arsenal #COYG!!!! Smooth!
Mon Mar 09 14:35:27 PDT 2015 --  wait what? The draw is right after the match? SWEET! LIVERPOOL... I CHOOSE YOUUUUUUUU!
Mon Mar 09 14:31:54 PDT 2015 --  Consistency... can't fault him for that no? But it was a foul outside of the box. He looks cartoonish from the reverse angle! #DIVING #COYG
Mon Mar 09 14:26:34 PDT 2015 --  Focus chaps... It's not over @Arsenal
Mon Mar 09 14:24:19 PDT 2015 --  What book would you recommend the entire world read? http://bit.ly/1BjuyjN  pic.twitter.com/pRkfAkzI4F
Mon Mar 09 14:21:49 PDT 2015 --  Game over????
Mon Mar 09 14:20:24 PDT 2015 --  Wow... ref what a call! #ACTION!
Mon Mar 09 14:19:06 PDT 2015 --  What a save!!!! Sies!
Mon Mar 09 14:16:48 PDT 2015 --  Man but @Alexis_Sanchez works hard! what a purchase. Tip of the hat Wenger!
