Tue Jan 20 10:43:42 PST 2015 --  انهضو يـ مطير الشجاعه </3 #انهضو_تكفون_يازبن_المجنه http://cdn.top4top.net/d_a447781a651.mp3 …”
Wed Jan 14 14:45:48 PST 2015 --  شوفوا البنت بسبب آيش زعلانه ☹ ! http://soo.gd/BB-21CAEAA3-Nco 
Fri Jan 09 00:09:14 PST 2015 --  اللهم في صباح يوم الجمعه أشف كل مريض وأرحم كل ميت وأشرح صدورنا ويسر أمورنا ووفقنا وسخرلنا وأجعل هذه الجمعة فرج لكل صابر وإستجابه لكل دعاء
Thu Jan 01 15:18:35 PST 2015 --  pic.twitter.com/9VSuIG2dEx
Wed Dec 31 05:12:03 PST 2014 --  عسى ﺎلذي بيّدھ تصاريّف ﺎﻟﺂقدﺎر ، يجعَل لنا هالعام #خير_علينا !'
Wed Dec 31 02:20:48 PST 2014 --  صديت صدت عاقلن ينشد ليه pic.twitter.com/llMwJYZOea
Fri Dec 26 17:31:42 PST 2014 --  pic.twitter.com/01Q4C8Fxll
Fri Dec 26 05:10:36 PST 2014 --  مبتعث سعودي يطقطق على الدكتورة اللي رسبته http://v.ht/HHH-gZW5 
Fri Dec 26 02:00:51 PST 2014 --  كل ما انبسطت يجي صوت بمخي يقول طيب والاختبارات؟.:(
Thu Dec 25 14:51:45 PST 2014 --  http://instagram.com/_e15  اتشرف بمتابعتكم بالانستقرام
Thu Dec 25 14:35:14 PST 2014 --  بالكتابه اصبحنا اصدقاء لبشر لم نلتقي بهم ابداً ..!!
Thu Dec 25 08:42:49 PST 2014 --  أكتب في تويتر ما تريد وبحرية مطلقه"" فهنا ١- لقيود غير الأدب ٢- لا رقيب غير الله ٣- ولا سلوك غير تربيتك”
Thu Dec 25 02:40:11 PST 2014 --  يــبــه ... وش بقي لي غير دمع بعد ماهُم .. غسلووك..؟!
Thu Dec 25 01:46:04 PST 2014 --  في عيني اليمنى من الورد بستان وفي عيني اليسرى عجاج السنيني ،، pic.twitter.com/49SD4PLmEi”
Wed Dec 24 08:37:19 PST 2014 --  اذا كسرت شي بالمطبخ وامي سمعت https://vine.co/v/OBgdVE7rdOa "”
Wed Dec 24 03:58:56 PST 2014 --  pic.twitter.com/OWocKaMWq7
Wed Dec 24 03:34:21 PST 2014 --  pic.twitter.com/IMPrSgswx1
Tue Dec 23 13:59:16 PST 2014 --  pic.twitter.com/kIQNT17GfS
Tue Dec 23 12:25:11 PST 2014 --  ضضربهم كواااهم احررق مرممااااههم. pic.twitter.com/Uvjdxwh9sj
Tue Dec 23 13:30:28 PST 2014 --  الهلال يمرض لكن لايموت .. الحمدالله هاذي بدايه خير استقاله بندر بن محمد و انتصار هلالنا . pic.twitter.com/kIgDVrFJ8z”
Mon Dec 22 15:45:31 PST 2014 --  مسلط #اسم_فخم
Mon Dec 22 08:05:19 PST 2014 --  @ssaa12380 @mslot121 امين يارب العالمين الله يسلط علينا وعليكم الخير كله
Mon Dec 22 07:07:45 PST 2014 --  @mslot121 مرحـبا مسلط سلط الله عليك الخـير وجعل لك القسى رخى و لين و يسر
Mon Dec 22 02:36:28 PST 2014 --  الأم حياة الأم أمان الأم هبة من الرحمن pic.twitter.com/AC6Y3SeN4g”
Sun Dec 21 19:23:51 PST 2014 --  اللهم اجعلنا من آلمستبشرين برحمتک أدعوک ربي أن تشرح صدورنآ و تيسر أمورنآ وتغفر ذنوبنآ وترضى عنآ وتفرج كُرَبِنآ وتقضي حوائجنآ”
Sat Dec 20 19:09:50 PST 2014 --  صبااح الخير ..
Fri Dec 19 05:06:19 PST 2014 --  #النصر_الشباب فرص سهله تضيع للنصر تثبت انه فريق بلنتيات”
Fri Dec 19 03:20:59 PST 2014 --  ياخي اقسم بالله غيابك مو وقته ..! #ياسر_القحطاني #الهلال pic.twitter.com/RpJuFw5qld”
Fri Dec 19 01:41:15 PST 2014 --  pic.twitter.com/9sAAvaF917
Fri Dec 19 01:39:30 PST 2014 --  لا اله الا الله. ”
Thu Dec 18 15:00:35 PST 2014 --  ليت الحزن مثل : السهر في : اخر دروبه ، فجر "”
Thu Dec 18 09:11:05 PST 2014 --  سُلبت منه البطوله ظلماًومازال ملكاًوزعيماًللقارةمعتلي على عرشهافـ لغةالأرقام لاتظلم #الهلال_أفضل_نادي_آسيوي #الهلال pic.twitter.com/zTwvu9O3QM”
Wed Dec 17 08:09:18 PST 2014 --  يقآل لآ تكثر من آلشكوى فيآتيك آلھم ولكن آكثر من آلحمدللہ تآتيك آلسعآده .. #آلحمدللہ ♡!”
Wed Dec 17 08:06:44 PST 2014 --  ﺎلبعض بتلذذ باستفزازك فتلذذ بتجاهلہ ~”
Tue Dec 16 23:23:31 PST 2014 --  الرياض : المسعد: ياهلاليون أبعدوا «الأعين الصفراء» عن ناديكم واعملوا بقلب رجل واحد [ http://www.alriyadh.com/1004290  ] pic.twitter.com/lhnrHtFxx3
Mon Dec 15 23:31:49 PST 2014 --  <مئهه واربعبن حرف> منهم من كتب بـ احتراف ومنهم من كتب بـ انحراف ”
Mon Dec 15 23:31:19 PST 2014 --  لاضاق صدرك وامتلت عينك دموع وقام الحزن يكبر ويتعب حياتك عليك بالمصحف إذا العالم هجوع والله يفرّجها عليك ،،، بصلاتك”....."”
Mon Dec 15 23:29:30 PST 2014 --  الكرامہ تغني الرجل لو انہ فقير  والقناعہ ف صدور ، الكرام اكبر غناه ♡”
Mon Dec 15 23:28:53 PST 2014 --  ليٺ الامل ~ يدري ۆش اللي بغيٺہ يمكں ; يقدر خاطر اللي ٺمنى ♡̷̷̷̷̷̷̷♡”
Mon Dec 15 23:27:43 PST 2014 --  البَعضُ تتَحققُ معَهُم الأمَانِي الجَميِلہَ والبَعض الآخرْ هُم الأمَانِي الجَميلہَ"”
Mon Dec 15 23:26:42 PST 2014 --  لا يسأل عنك إلا من يرى ان وجودك معه يسعده .."”
Mon Dec 15 13:04:03 PST 2014 --  اخاف اكلمك كثير ، و تمل مني واخاف اسكت و تظن اني م ابيك
Sat Dec 13 12:05:35 PST 2014 --  “ زمن صرنا فيه نقول هاردلك بعد ماكنا نقول مبروك”
Sat Dec 13 03:36:55 PST 2014 --  بالتوفيق للزعيم pic.twitter.com/foFZ7yBm1P
Fri Dec 12 10:06:01 PST 2014 --  الهلال يحتل المرتبة اﻷولی سعودياً و عربياً و آسيويا في التصنيف العالمي #يافخر_مابعده_فخر *SV*(=|<3<3♫̠' pic.twitter.com/Wo9OPxSyBT
Fri Dec 12 04:19:44 PST 2014 --  رسمياً : نوّاف العابد يحصل على جائزة تويوتا لـ افضل لاعب في هذا الشهر . شكرا لكل من صوّت للعابد ، يستاهل pic.twitter.com/gNRtEc0tZ1
Fri Dec 12 02:42:05 PST 2014 --  pic.twitter.com/QRg3cvbUf0
Fri Dec 12 01:54:58 PST 2014 --  الاستغفار ؛ إزالة هم ، و تفريج غم وتكفير ذنب ، و اطمئنان قلب فاستغفروا _ استغفرالله العظيم واتوب اليه ♡
Thu Dec 11 14:51:14 PST 2014 --  الوتر... pic.twitter.com/phKpo1OxKl
Thu Dec 11 03:07:00 PST 2014 --  اللهم بيض وجوهنا يوم تبيض وجوه وتسود وجوه .. يا رب http://knzmuslim.com ”
Thu Dec 11 03:06:28 PST 2014 --  يوم القيامة لا وصي ولا وكيل نفوس خلق الله تبيح أسرارها والأرض حتى الأرض تنطق والدليل " يَوْمَئِذٍ تُحَدِّثُ أَخْبَارَهَا " نايف الرويس”
Thu Dec 11 00:43:46 PST 2014 --  بين الشوارع والطرق سرحت بك اتأملك! واتخيلك! ما أجملك واكلت مطب الله يلعنك "̮*beer*
Thu Dec 11 00:29:07 PST 2014 --  من مختصرات الحياة : لا فرحة دائمة ولا حزن مستمر ~o)'
Fri Dec 05 02:08:55 PST 2014 --  قصة أيوب الصابر المبتلى لا تذكر في #القرآن إلا مع قصة سليمان وداود الممكنين الشاكرين القوة والضعف مطيتان لا يبالي المؤمن أيهما ركب! #تدبر”
Wed Nov 12 11:58:42 PST 2014 --  إذا كان الله معك فمن تخاف؟ وإذا كان الله ضدك فمن ترجو؟”
Tue Nov 11 10:55:21 PST 2014 --  اللهم قني عذابك يوم تبعث عبادك http://du3a.org ”
Mon Nov 10 00:33:06 PST 2014 --  قال رسول الله صلى الله عليه وسلم آية المنافق ثلاث إذا حدث كذب وإذا وعد أخلف وإذا اؤتمن خان -- صحيح البخاري #Hadith #ﷺ”
Fri Nov 07 10:21:48 PST 2014 --  #تحديث_الواتس_اب_الجديد ضاقت صدورهم بتحديث الواتس آب لأن الظهور انكشف لمن يراسلنا ياترى كيف حالنا مع من يعرف خائنة الأعين وما تخفي الصدور؟
Fri Nov 07 10:12:26 PST 2014 --  ..♡' الشتا يا أهل المشالح مستحيل يـترك العـشّاق تقـطف وردھـا . . البـلا : ماهوب في ضمّـة خلـيل البـلا : گيف - نتـروّش - بعدھـا
Tue Nov 04 11:38:33 PST 2014 --  صورة - آخر تغريدة لرجل الأمن الشهيد تركي الرشيد الذي استُشهد أثناء مواجهة مطلوبين في #بريدة . #أحداث_القصيم_شقراء - pic.twitter.com/GC9ghE7hHK
Thu Oct 30 09:11:09 PDT 2014 --  https://vine.co/v/OMd7Iup61X1  اللهم آمين إن شاء الله هلالية #الهلال_سيدني
Thu Oct 23 08:15:27 PDT 2014 --  توفي الاربعاء ١٤٣٥/١٢/٢٨ الشاعر عوض الله أبومشعاب السلمي ، وصلي على جنازته بعد ظهر اليوم في المسجد ا pic.twitter.com/qU2sLIPYPg”
