Tue Jun 23 10:48:42 PDT 2015 --  Looking really brown today not sure how/why #Tan #CalvinKlein #Shorts #GymGirls pic.twitter.com/7jHOSDUUxi
Mon Jun 22 03:16:49 PDT 2015 --  Hair up, make up off, bra off, pjs on. Happy Sunday everyone!! Its been a good #Birthday weekend pic.twitter.com/0HWhQui9Pv
Mon Jun 22 02:41:22 PDT 2015 --  I'm such a lovely daughter #Family #WindUp pic.twitter.com/mvAZLhHbHN
Sun Jun 21 09:14:24 PDT 2015 --  pic.twitter.com/BjkCvVvegi
Sat Jun 20 13:46:04 PDT 2015 --  Had such a good #Birthday with the best #Boyfriend ever round #London I am now pooped! pic.twitter.com/yikZZVAUAq
Sat Jun 20 02:45:02 PDT 2015 --  Off to #London for the day after being very spoilt! #HappyBirthdayToMeeeeee
Fri Jun 19 13:12:48 PDT 2015 --  Spot on id say #Gemini #BestSign #Fun #Nutters pic.twitter.com/k2tvqd3CDQ
Fri Jun 19 10:46:54 PDT 2015 --  Music really is such a beautiful and powerful thing #Music
Fri Jun 19 10:24:34 PDT 2015 --  We work so hard pic.twitter.com/hEBbIAKlsd
Fri Jun 19 10:23:46 PDT 2015 --  We work so hard #Work #Fun pic.twitter.com/6IPAhOtHtk
Fri Jun 19 10:23:05 PDT 2015 --  Cuties at work pic.twitter.com/8xwYH9M6x4
Fri Jun 19 10:22:47 PDT 2015 --  Early birthday treat #KrispyKreme pic.twitter.com/RzevyYoJR0
Fri Jun 19 10:20:14 PDT 2015 --  Someone is excited about his hollybobs pic.twitter.com/AUoWWRWEax
Fri Dec 12 11:20:38 PST 2014 --  my tweet wasnt about u... but if the shoe fits then lace that bitch up and wear it
Thu Jun 18 16:30:15 PDT 2015 --  If your girls texts you randomly "you know what's funny" just turn off your phone and say you lost signal cause I guarantee it's not funny
Fri Jun 19 02:34:10 PDT 2015 --  Not only have I got that Friday feelin but it's also my #Birthday tomorrow!!!! Ahhhhhh #23 #TooExcited
Thu Jun 18 05:00:37 PDT 2015 --  since girls take hoodies and leave us without them, men, it's time to take a stand pic.twitter.com/bifBzi1OYW
