Wed Jul 01 10:05:23 PDT 2015 --  Finally a useful NBA free agency tweet. https://twitter.com/ericsports/status/616291010167988224 …
Wed Jul 01 09:43:14 PDT 2015 --  Yeeeeee https://twitter.com/dgreen_14/status/616285704658767872 …
Tue Jun 30 16:30:06 PDT 2015 --  Classic Popovich quote pic.twitter.com/5CYA5aliVQ
Tue Oct 26 09:47:02 PDT 2010 --  #MYGOALIS 2 GET @NICKIMINAJ KNOCKED UP!!! LOL
Tue Jun 30 13:00:15 PDT 2015 --  This looks nuts pic.twitter.com/iyctro0mn3
Mon Jun 29 14:02:25 PDT 2015 --  #NikeAcademy this week in Santa Monica. pic.twitter.com/dbYQW36nUS
Sun Jun 28 17:23:11 PDT 2015 --  uh oh @zona2783 @Pebler18 pic.twitter.com/iuXIdJGYdi
Sun Jun 28 17:14:47 PDT 2015 --  . @zona2783 I just saw an upside U of A logo.. #Explain
Sat Jun 27 19:47:54 PDT 2015 --  My God
Sat Jun 27 19:47:49 PDT 2015 --  KO in da @ufc
Sat Jun 27 08:32:12 PDT 2015 --  First KD8 colorway drops today!!! Going to swing by House of Hoops in Culver City this afternoon to see who’s copping it #HouseofHoops #KD8
Fri Jun 26 17:58:52 PDT 2015 --  Shouts to @DotDaGenius on the production as well!! #Normally video goin! https://twitter.com/onsmash/status/614592745034809346 …
Fri Jun 26 13:32:17 PDT 2015 --  @joerogan Texas Pastor says he will burn himself alive in protest of Supreme Court ruling. http://www.hngn.com/articles/103690/20150624/texas-pastor-will-set-himself-fire-protest-over-gay-marriage.htm …
Fri Jun 26 13:20:07 PDT 2015 --  'Ant-Man' Mid & Post Credit Scenes REVEALED! (SPOILER WARNING) http://heroichollywood.com/home-1/2015/6/26/ant-man-mid-post-credit-scenes-revealed-spoiler-warning … pic.twitter.com/GRVVELpkdY
