Sun Jun 07 11:25:45 PDT 2015 --  3 lucky general admission tickets will win a backstage pass! GA tickets are onl $10 http://www.ticketfly.com/event/860331-niki-gabi-early-entry-allentown/ …
Sun Jun 07 11:10:47 PDT 2015 --  mood: https://twitter.com/trybieber/status/607609342276333569 …
Sun Jun 07 11:03:46 PDT 2015 --  ariana and jones should get together tbh and then adopt me
Sun Jun 07 11:03:51 PDT 2015 --  @sweetbocalove yes love ~ B
Fri Jun 05 10:27:04 PDT 2015 --  @Michael5SOS Before I met you, I never knew what it was like to be able to look at someone and smile for no reason.
Sun Jun 07 10:59:17 PDT 2015 --  BELLISSIMA @arianagrande
Sun Jun 07 10:54:41 PDT 2015 --  https://twitter.com/arianagrande/status/607537141091024896 …
Sun Jun 07 07:21:29 PDT 2015 --  y'all being the "sisterhood" mentioned at the end..... love u
Sun Jun 07 09:35:30 PDT 2015 --  when autocorrect changes "givenchy" to "five children"..........?? @saschapr
Sat Jun 06 14:06:10 PDT 2015 --  i love u babes
Sat Jun 06 19:34:13 PDT 2015 --  focusss | alfredoflores https://instagram.com/p/3nH26FyWfx/ 
Sat Jun 06 19:22:43 PDT 2015 --  https://twitter.com/arianagrande/status/607292419944673281 …
Sat Jun 06 19:14:09 PDT 2015 --  Ily @gabcake
Sat Jun 06 19:13:31 PDT 2015 --  new nailssss eryotherweek pic.twitter.com/6RBCPMGOR5
Sat Jun 06 18:07:51 PDT 2015 --  hahaha. greatest production manager in the world who happens to look like a serial killer in this… https://instagram.com/p/3m90_ByWdT/ 
Sat Jun 06 18:05:53 PDT 2015 --  pre summertime ball kisss https://instagram.com/p/3m9hBUSWcs/ 
Sat Jun 06 14:12:01 PDT 2015 --  y'all are............ my favorite
Sat Jun 06 13:54:01 PDT 2015 --  ARI I LOVE UR SNAPCHAT STORY @arianagrande
Sat Jun 06 08:13:09 PDT 2015 --  see you soon capital fm summertime ball!!!
Sat Jun 06 06:36:50 PDT 2015 --  Moonlight is gonna be awesome
Sat Jun 06 04:27:22 PDT 2015 --  FIVE HOURS TO GO. SAVE DRAFTS AND SPREAD THE WORD TO EVERYONE. MORE PEOPLE MORE VOTES FOR JUSTIN. #JustinForMMVA pic.twitter.com/hEOn6O8RUx
Fri Jun 05 14:26:06 PDT 2015 --  Some lady almost hit me going 80 on a back road. Everyone please drive defensively.. Sometimes it only takes an idiot to affect your life
Fri Jun 05 12:01:43 PDT 2015 --  Oh no people are actually watching us embarrass ourselves @gabcake https://twitter.com/austinmahomie_9/status/606898476111249408 …
Thu Jun 04 16:14:47 PDT 2015 --  I HAVE THE BEST BF IN THE WORLD @jerrypascucci2
Thu Jun 04 15:41:05 PDT 2015 --  i love u manchester thank u
