Sun Aug 09 13:22:32 PDT 2015 --  Problem solved. I should be slapped for forgetting about King Zacc. https://twitter.com/milan_pearce/status/630473982681088000 …
Sun Aug 09 12:44:31 PDT 2015 --  Sabatini: "The agreement with Milan for Romagnoli will be finalized tomorrow."
Sun Aug 09 12:43:53 PDT 2015 --  Biggest question mark is now LB. MDS or Antonelli? (Abate should be RB) Toss up imo.
Sun Aug 09 12:42:54 PDT 2015 --  Key to Milan defense IMO is health. Need to have a steady dose of the same back 4 together. Hopefully Ely- Romagnoli can be core of that.
Sun Aug 09 12:16:31 PDT 2015 --  Thank you #ACMilan for spending €50m on Bertolacci and Romagnoli. Sincerely #ASRoma fans
Sun Aug 09 12:31:24 PDT 2015 --  I want Ibra of course but midfielder should be #1 priority now.
Sun Aug 09 12:30:54 PDT 2015 --  Romagnoli done. Now let's see if Milan can get a top midfielder.
Sun Aug 09 12:19:24 PDT 2015 --  AC Milan have essentially financed Roma's transfer window, making Roma stronger than they were last season.
Sun Aug 09 11:58:16 PDT 2015 --  #SKY: The two clubs are exchanging the documents, and Romagnoli will be in Milano in the coming hours. #acmilan pic.twitter.com/307Mg5IfGb
Sun Aug 09 11:41:03 PDT 2015 --  Milan will sign Romagnoli for €25m+€2-3m in bonuses, reports Milannews.it.
Sun Aug 09 12:17:48 PDT 2015 --  "Summit" https://twitter.com/MilanEye/status/630439119630544896 …
Sun Aug 09 08:08:47 PDT 2015 --  Alexis Sanchez ladies and gentlemen. When everybody's gone home, he's out sprinting up and down the Emirates pitch. pic.twitter.com/GFCNtwa6u6
Sun Aug 09 08:42:11 PDT 2015 --  #STK vs #LFC is a "wonderful advert" for the #BPL
